# slope	intercept	r	stderr
0.0220888	183.564	0.994497	1.49997e-57	0.000308203
0.0265407	179.846	0.998357	9.41622e-69	0.000207285
0.0229388	177.098	0.996918	2.29855e-71	0.000227425
0.0274218	183.788	0.997471	8.74698e-57	0.000282019
0.0232292	184.462	0.991303	3.91217e-50	0.000415815
0.000692635	173.524	0.715723	4.13945e-14	7.5563e-05
1	-1	1	nan	nan
0.000298212	193.372	0.583963	8.4727e-09	4.63482e-05
0.00971518	176.985	0.875438	5.55497e-27	0.000599685
0.0216319	150.903	0.998222	9.38476e-100	0.000144413
0.0206929	144.487	0.995748	1.25318e-84	0.000214025
0.0208657	156.454	0.995103	3.53705e-82	0.000231734
0.00085306	168.455	0.607781	1.40243e-09	0.000124613
0.000909873	207.67	0.76971	2.92546e-17	8.43716e-05
0.00105833	184.833	0.822936	2.43922e-21	8.16881e-05
1	-1	1	nan	nan
0.000831293	170.67	0.594262	3.9633e-09	0.000125786
0.0253149	167.921	0.99369	1.12625e-59	0.000365865
0.0228693	173.086	0.993142	2.56529e-62	0.000333941
0.0238576	170.596	0.993664	1.421e-60	0.000342714
0.0249025	174.369	0.995741	9.39415e-62	0.00030275
0.024716	173.254	0.994335	3.80617e-59	0.000343968
0.0242885	170.769	0.993091	2.40403e-60	0.000361597
0.00802024	237.56	0.988046	1.1876e-31	0.00020572
